"TWID","NEG","NEU","POS","TXT_SNTMT","TOKENISED","IMG","IMG_SNTMT","SNTMT_MATCH"
"783066691810959361","0.025041424275","0.895268842282","0.07968973344260001","1","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1888, 168, 12, 703, 958, 663, 269, 651, 425, 3, 619, 3497]","data/78306/783066691810959361-1.jpg","1","YES"
"781499821484113920","0.0156841872171","0.889605780151","0.0947100326318","1","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 271, 765, 110, 3551, 83220, 1849, 1828, 742]","data/78149/781499821484113920-1.jpg","1","YES"
"769434343974506497","0.0551144347262","0.92103916314","0.0238464021337","1","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22453, 1200, 2778, 10852, 4341, 78, 4956, 348, 3026, 366, 7938, 572]","data/76943/769434343974506497-1.jpg","1","YES"
"803418469865689088","0.8479574389810001","0.111698114354","0.040344446665","0","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 671, 2, 16292, 8, 252]","data/80341/803418469865689088-1.jpg","0","YES"
"769390714815967232","0.00368321276935","0.135522618948","0.860794168282","2","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2315, 547, 101, 1585, 769, 2315, 547, 136, 107, 1269, 1019, 3544, 62]","data/76939/769390714815967232-1.jpg","2","YES"
"769333680699502592","0.004950373675270001","0.0595063687285","0.935543257596","2","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3356, 5, 35949, 55, 35949, 55, 35, 422, 340, 291]","data/76933/769333680699502592-1.jpg","2","YES"
"781585007773151233","0.0182437533181","0.8617035610279999","0.12005268565400001","1","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 2552, 756, 239, 952, 2552, 2332, 24, 35537, 99835, 1503]","data/78158/781585007773151233-1.jpg","1","YES"
"782887104296673284","0.0614127320322","0.047299543322300006","0.891287724645","2","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 2349, 2, 5375, 11, 110, 87, 193, 24, 1923, 136]","data/78288/782887104296673284-1.jpg","2","YES"
"797777978222637056","0.6877061622849999","0.246722524305","0.0655713134101","0","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 183, 2, 12088, 1332, 2483, 11815]","data/79777/797777978222637056-1.jpg","0","YES"
"800418284210388993","0.40711295553599997","0.33437389062399997","0.25851315384","0","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 374, 470, 3521, 15, 47, 125, 178]","data/80041/800418284210388993-1.jpg","0","YES"
"781279654057381888","0.0431278970708","0.07898976010419999","0.877882342825","2","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 9, 21, 423, 422]","data/78127/781279654057381888-1.jpg","2","YES"
"783406426232348672","0.0231226769232","0.873426869492","0.103450453585","1","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 401, 2, 165, 501, 156, 77204, 626, 67, 67]","data/78340/783406426232348672-1.jpg","1","YES"
"783341213223034880","0.00799272108422","0.0360455588281","0.955961720088","2","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 434, 3, 2, 1134, 1321, 1028, 6, 1519, 684, 113]","data/78334/783341213223034880-1.jpg","2","YES"
"801724004600074240","0.743348511992","0.202519562583","0.054131925425000005","0","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2380, 2, 5193, 63, 9426, 3209, 108, 3448, 204, 2, 2712]","data/80172/801724004600074240-1.jpg","0","YES"
